Title                    ,
Model:                   ,N9320A
Serial Number:           ,CN0163000547
Center Frequency;        ,31250000.000000,Hz
Span:                    ,62500000.000000,Hz
Resolution Bandwidth:    ,3000.000000,Hz
Video Bandwidth:         ,3000.000000,Hz
Reference Level:         ,        0.00,dBm
Sweep Time:              ,20.878623,Sec
Num Points:              ,0461

No.,            frequency,    ,amplitude,
  0,         0.0,Hz,        2.25,dBm
  1,    135869.6,Hz,      -54.80,dBm
  2,    271739.1,Hz,      -51.26,dBm
  3,    407608.7,Hz,      -47.40,dBm
  4,    543478.3,Hz,      -45.64,dBm
  5,    679347.8,Hz,      -41.00,dBm
  6,    815217.4,Hz,      -41.06,dBm
  7,    951087.0,Hz,      -40.46,dBm
  8,   1086956.5,Hz,      -40.68,dBm
  9,   1222826.1,Hz,      -38.15,dBm
 10,   1358695.7,Hz,      -37.39,dBm
 11,   1494565.2,Hz,      -35.63,dBm
 12,   1630434.8,Hz,      -36.01,dBm
 13,   1766304.3,Hz,      -34.67,dBm
 14,   1902173.9,Hz,      -35.19,dBm
 15,   2038043.5,Hz,      -35.89,dBm
 16,   2173913.0,Hz,      -33.60,dBm
 17,   2309782.6,Hz,      -35.10,dBm
 18,   2445652.2,Hz,      -35.85,dBm
 19,   2581521.7,Hz,      -35.97,dBm
 20,   2717391.3,Hz,      -35.66,dBm
 21,   2853260.9,Hz,      -33.79,dBm
 22,   2989130.4,Hz,      -35.38,dBm
 23,   3125000.0,Hz,      -35.43,dBm
 24,   3260869.6,Hz,      -36.10,dBm
 25,   3396739.1,Hz,      -34.71,dBm
 26,   3532608.7,Hz,      -36.49,dBm
 27,   3668478.3,Hz,      -37.05,dBm
 28,   3804347.8,Hz,      -37.83,dBm
 29,   3940217.4,Hz,      -36.07,dBm
 30,   4076087.0,Hz,      -36.96,dBm
 31,   4211956.5,Hz,      -36.95,dBm
 32,   4347826.1,Hz,      -38.33,dBm
 33,   4483695.7,Hz,      -38.50,dBm
 34,   4619565.2,Hz,      -36.89,dBm
 35,   4755434.8,Hz,      -37.91,dBm
 36,   4891304.3,Hz,      -37.76,dBm
 37,   5027173.9,Hz,      -37.76,dBm
 38,   5163043.5,Hz,      -36.69,dBm
 39,   5298913.0,Hz,      -40.03,dBm
 40,   5434782.6,Hz,      -38.44,dBm
 41,   5570652.2,Hz,      -35.47,dBm
 42,   5706521.7,Hz,      -37.68,dBm
 43,   5842391.3,Hz,      -36.76,dBm
 44,   5978260.9,Hz,      -38.47,dBm
 45,   6114130.4,Hz,      -37.46,dBm
 46,   6250000.0,Hz,      -36.90,dBm
 47,   6385869.6,Hz,      -38.78,dBm
 48,   6521739.1,Hz,      -38.77,dBm
 49,   6657608.7,Hz,      -37.64,dBm
 50,   6793478.3,Hz,      -36.55,dBm
 51,   6929347.8,Hz,      -38.21,dBm
 52,   7065217.4,Hz,      -37.90,dBm
 53,   7201087.0,Hz,      -38.47,dBm
 54,   7336956.5,Hz,      -37.74,dBm
 55,   7472826.1,Hz,      -37.99,dBm
 56,   7608695.7,Hz,      -34.87,dBm
 57,   7744565.2,Hz,      -38.07,dBm
 58,   7880434.8,Hz,      -37.82,dBm
 59,   8016304.3,Hz,      -38.07,dBm
