Title                    ,
Model:                   ,N9320A
Serial Number:           ,CN0163000547
Center Frequency;        ,31250000.000000,Hz
Span:                    ,62500000.000000,Hz
Resolution Bandwidth:    ,3000.000000,Hz
Video Bandwidth:         ,3000.000000,Hz
Reference Level:         ,        0.00,dBm
Sweep Time:              ,20.878623,Sec
Num Points:              ,0461

No.,            frequency,    ,amplitude,
  0,         0.0,Hz,        2.31,dBm
  1,    135869.6,Hz,      -53.98,dBm
  2,    271739.1,Hz,      -54.21,dBm
  3,    407608.7,Hz,      -51.59,dBm
  4,    543478.3,Hz,      -43.10,dBm
  5,    679347.8,Hz,      -50.74,dBm
  6,    815217.4,Hz,      -63.58,dBm
  7,    951087.0,Hz,      -52.57,dBm
  8,   1086956.5,Hz,      -57.87,dBm
  9,   1222826.1,Hz,      -61.41,dBm
 10,   1358695.7,Hz,      -56.05,dBm
 11,   1494565.2,Hz,      -48.83,dBm
 12,   1630434.8,Hz,      -51.79,dBm
 13,   1766304.3,Hz,      -52.77,dBm
 14,   1902173.9,Hz,      -60.07,dBm
 15,   2038043.5,Hz,      -62.78,dBm
 16,   2173913.0,Hz,      -61.77,dBm
 17,   2309782.6,Hz,      -62.04,dBm
 18,   2445652.2,Hz,      -63.11,dBm
 19,   2581521.7,Hz,      -61.28,dBm
 20,   2717391.3,Hz,      -60.75,dBm
 21,   2853260.9,Hz,      -61.86,dBm
 22,   2989130.4,Hz,      -59.47,dBm
 23,   3125000.0,Hz,      -58.82,dBm
 24,   3260869.6,Hz,      -62.09,dBm
 25,   3396739.1,Hz,      -60.78,dBm
 26,   3532608.7,Hz,      -61.53,dBm
 27,   3668478.3,Hz,      -60.50,dBm
 28,   3804347.8,Hz,      -60.26,dBm
 29,   3940217.4,Hz,      -61.57,dBm
 30,   4076087.0,Hz,      -61.02,dBm
 31,   4211956.5,Hz,      -61.32,dBm
 32,   4347826.1,Hz,      -59.03,dBm
 33,   4483695.7,Hz,      -61.18,dBm
 34,   4619565.2,Hz,      -59.35,dBm
 35,   4755434.8,Hz,      -60.96,dBm
 36,   4891304.3,Hz,      -59.19,dBm
 37,   5027173.9,Hz,      -60.95,dBm
 38,   5163043.5,Hz,      -59.62,dBm
 39,   5298913.0,Hz,      -59.33,dBm
 40,   5434782.6,Hz,      -59.74,dBm
 41,   5570652.2,Hz,      -61.06,dBm
 42,   5706521.7,Hz,      -62.51,dBm
 43,   5842391.3,Hz,      -61.74,dBm
 44,   5978260.9,Hz,      -61.04,dBm
 45,   6114130.4,Hz,      -60.11,dBm
 46,   6250000.0,Hz,      -60.85,dBm
 47,   6385869.6,Hz,      -61.48,dBm
 48,   6521739.1,Hz,      -61.34,dBm
 49,   6657608.7,Hz,      -60.65,dBm
 50,   6793478.3,Hz,      -59.93,dBm
 51,   6929347.8,Hz,      -61.91,dBm
 52,   7065217.4,Hz,      -58.64,dBm
 53,   7201087.0,Hz,      -61.93,dBm
 54,   7336956.5,Hz,      -61.02,dBm
 55,   7472826.1,Hz,      -61.07,dBm
 56,   7608695.7,Hz,      -57.46,dBm
 57,   7744565.2,Hz,      -58.89,dBm
 58,   7880434.8,Hz,      -60.02,dBm
 59,   8016304.3,Hz,      -61.76,dBm
 60,   8152173.9,Hz,      -62.38,dBm
 61,   8288043.5,Hz,      -60.27,dBm
 62,   8423913.0,Hz,      -60.03,dBm
 63,   8559782.6,Hz,      -59.46,dBm
 64,   8695652.2,Hz,      -57.99,dBm
 65,   8831521.7,Hz,      -57.38,dBm
 66,   8967391.3,Hz,      -57.51,dBm
 67,   9103260.9,Hz,      -58.33,dBm
 68,   9239130.4,Hz,      -57.76,dBm
 69,   9375000.0,Hz,      -57.36,dBm
 70,   9510869.6,Hz,      -57.07,dBm
 71,   9646739.1,Hz,      -52.10,dBm
