Title                    ,
Model:                   ,N9320A
Serial Number:           ,CN0163000547
Center Frequency;        ,31250000.000000,Hz
Span:                    ,62500000.000000,Hz
Resolution Bandwidth:    ,3000.000000,Hz
Video Bandwidth:         ,3000.000000,Hz
Reference Level:         ,        0.00,dBm
Sweep Time:              ,20.878623,Sec
Num Points:              ,0461

No.,            frequency,    ,amplitude,
  0,         0.0,Hz,        2.19,dBm
  1,    135869.6,Hz,      -50.58,dBm
  2,    271739.1,Hz,      -34.97,dBm
  3,    407608.7,Hz,      -40.01,dBm
  4,    543478.3,Hz,      -38.93,dBm
  5,    679347.8,Hz,      -52.08,dBm
  6,    815217.4,Hz,      -42.54,dBm
  7,    951087.0,Hz,      -39.17,dBm
  8,   1086956.5,Hz,      -44.91,dBm
  9,   1222826.1,Hz,      -44.00,dBm
 10,   1358695.7,Hz,      -38.37,dBm
 11,   1494565.2,Hz,      -38.79,dBm
 12,   1630434.8,Hz,      -39.12,dBm
 13,   1766304.3,Hz,      -35.64,dBm
 14,   1902173.9,Hz,      -56.92,dBm
 15,   2038043.5,Hz,      -58.14,dBm
 16,   2173913.0,Hz,      -58.16,dBm
 17,   2309782.6,Hz,      -54.16,dBm
 18,   2445652.2,Hz,      -63.35,dBm
 19,   2581521.7,Hz,      -59.46,dBm
 20,   2717391.3,Hz,      -65.51,dBm
 21,   2853260.9,Hz,      -61.56,dBm
 22,   2989130.4,Hz,      -64.44,dBm
 23,   3125000.0,Hz,      -60.97,dBm
 24,   3260869.6,Hz,      -64.01,dBm
 25,   3396739.1,Hz,      -70.65,dBm
 26,   3532608.7,Hz,      -66.62,dBm
 27,   3668478.3,Hz,      -67.28,dBm
 28,   3804347.8,Hz,      -72.87,dBm
 29,   3940217.4,Hz,      -66.13,dBm
 30,   4076087.0,Hz,      -66.37,dBm
 31,   4211956.5,Hz,      -71.98,dBm
 32,   4347826.1,Hz,      -69.21,dBm
 33,   4483695.7,Hz,      -69.84,dBm
 34,   4619565.2,Hz,      -75.07,dBm
 35,   4755434.8,Hz,      -69.68,dBm
 36,   4891304.3,Hz,      -73.97,dBm
 37,   5027173.9,Hz,      -68.05,dBm
 38,   5163043.5,Hz,      -67.82,dBm
 39,   5298913.0,Hz,      -74.60,dBm
 40,   5434782.6,Hz,      -65.72,dBm
 41,   5570652.2,Hz,      -67.86,dBm
 42,   5706521.7,Hz,      -71.16,dBm
 43,   5842391.3,Hz,      -72.57,dBm
 44,   5978260.9,Hz,      -72.36,dBm
 45,   6114130.4,Hz,      -72.81,dBm
 46,   6250000.0,Hz,      -71.84,dBm
 47,   6385869.6,Hz,      -72.69,dBm
 48,   6521739.1,Hz,      -73.60,dBm
 49,   6657608.7,Hz,      -71.88,dBm
 50,   6793478.3,Hz,      -69.63,dBm
 51,   6929347.8,Hz,      -70.43,dBm
 52,   7065217.4,Hz,      -70.51,dBm
 53,   7201087.0,Hz,      -69.13,dBm
 54,   7336956.5,Hz,      -70.20,dBm
 55,   7472826.1,Hz,      -68.83,dBm
 56,   7608695.7,Hz,      -69.89,dBm
 57,   7744565.2,Hz,      -68.13,dBm
 58,   7880434.8,Hz,      -70.99,dBm
 59,   8016304.3,Hz,      -67.55,dBm
 60,   8152173.9,Hz,      -69.07,dBm
 61,   8288043.5,Hz,      -66.41,dBm
 62,   8423913.0,Hz,      -68.28,dBm
 63,   8559782.6,Hz,      -64.50,dBm
 64,   8695652.2,Hz,      -66.17,dBm
 65,   8831521.7,Hz,      -67.49,dBm
 66,   8967391.3,Hz,      -64.83,dBm
 67,   9103260.9,Hz,      -63.67,dBm
 68,   9239130.4,Hz,      -64.66,dBm
 69,   9375000.0,Hz,      -61.74,dBm
 70,   9510869.6,Hz,      -64.17,dBm
 71,   9646739.1,Hz,      -59.05,dBm
 72,   9782608.7,Hz,      -58.25,dBm
 73,   9918478.3,Hz,      -48.56,dBm
 74,  10054347.8,Hz,      -46.69,dBm
 75,  10190217.4,Hz,      -46.38,dBm
 76,  10326087.0,Hz,      -48.55,dBm
 77,  10461956.5,Hz,      -46.50,dBm
 78,  10597826.1,Hz,      -47.53,dBm
 79,  10733695.7,Hz,      -46.13,dBm
 80,  10869565.2,Hz,      -46.86,dBm
 81,  11005434.8,Hz,      -47.73,dBm
 82,  11141304.3,Hz,      -46.66,dBm
 83,  11277173.9,Hz,      -45.00,dBm
 84,  11413043.5,Hz,      -47.50,dBm
 85,  11548913.0,Hz,      -47.87,dBm
 86,  11684782.6,Hz,      -46.01,dBm
 87,  11820652.2,Hz,      -46.80,dBm
 88,  11956521.7,Hz,      -47.93,dBm
 89,  12092391.3,Hz,      -47.73,dBm
 90,  12228260.9,Hz,      -46.04,dBm
 91,  12364130.4,Hz,      -47.19,dBm
 92,  12500000.0,Hz,      -47.22,dBm
 93,  12635869.6,Hz,      -49.28,dBm
 94,  12771739.1,Hz,      -47.41,dBm
 95,  12907608.7,Hz,      -47.22,dBm
 96,  13043478.3,Hz,      -45.81,dBm
 97,  13179347.8,Hz,      -46.52,dBm
 98,  13315217.4,Hz,      -47.24,dBm
 99,  13451087.0,Hz,      -44.74,dBm
100,  13586956.5,Hz,      -49.25,dBm
101,  13722826.1,Hz,      -47.67,dBm
102,  13858695.7,Hz,      -46.46,dBm
103,  13994565.2,Hz,      -49.16,dBm
104,  14130434.8,Hz,      -48.99,dBm
105,  14266304.3,Hz,      -46.35,dBm
106,  14402173.9,Hz,      -47.44,dBm
107,  14538043.5,Hz,      -47.66,dBm
108,  14673913.0,Hz,      -47.98,dBm
109,  14809782.6,Hz,      -47.10,dBm
110,  14945652.2,Hz,      -47.13,dBm
111,  15081521.7,Hz,      -48.06,dBm
112,  15217391.3,Hz,      -48.20,dBm
113,  15353260.9,Hz,      -47.58,dBm
114,  15489130.4,Hz,      -48.60,dBm
115,  15625000.0,Hz,      -48.03,dBm
116,  15760869.6,Hz,      -49.07,dBm
117,  15896739.1,Hz,      -46.82,dBm
118,  16032608.7,Hz,      -49.58,dBm
119,  16168478.3,Hz,      -48.26,dBm
120,  16304347.8,Hz,      -46.98,dBm
121,  16440217.4,Hz,      -48.45,dBm
122,  16576087.0,Hz,      -48.40,dBm
123,  16711956.5,Hz,      -46.54,dBm
124,  16847826.1,Hz,      -48.90,dBm
125,  16983695.7,Hz,      -46.64,dBm
126,  17119565.2,Hz,      -47.15,dBm
127,  17255434.8,Hz,      -50.20,dBm
128,  17391304.3,Hz,      -46.67,dBm
129,  17527173.9,Hz,      -46.51,dBm
130,  17663043.5,Hz,      -49.49,dBm
131,  17798913.0,Hz,      -48.11,dBm
132,  17934782.6,Hz,      -48.87,dBm
133,  18070652.2,Hz,      -48.78,dBm
134,  18206521.7,Hz,      -48.25,dBm
135,  18342391.3,Hz,      -48.81,dBm
136,  18478260.9,Hz,      -46.36,dBm
137,  18614130.4,Hz,      -47.85,dBm
138,  18750000.0,Hz,      -46.13,dBm
139,  18885869.6,Hz,      -47.51,dBm
140,  19021739.1,Hz,      -48.19,dBm
141,  19157608.7,Hz,      -48.47,dBm
142,  19293478.3,Hz,      -47.23,dBm
143,  19429347.8,Hz,      -47.17,dBm
144,  19565217.4,Hz,      -49.00,dBm
145,  19701087.0,Hz,      -48.72,dBm
146,  19836956.5,Hz,      -47.99,dBm
147,  19972826.1,Hz,      -46.86,dBm
148,  20108695.7,Hz,      -48.53,dBm
149,  20244565.2,Hz,      -45.91,dBm
150,  20380434.8,Hz,      -47.39,dBm
151,  20516304.3,Hz,      -45.96,dBm
152,  20652173.9,Hz,      -48.58,dBm
153,  20788043.5,Hz,      -47.96,dBm
154,  20923913.0,Hz,      -48.36,dBm
155,  21059782.6,Hz,      -48.81,dBm
156,  21195652.2,Hz,      -48.30,dBm
157,  21331521.7,Hz,      -49.28,dBm
158,  21467391.3,Hz,      -47.90,dBm
159,  21603260.9,Hz,      -47.25,dBm
160,  21739130.4,Hz,      -48.78,dBm
161,  21875000.0,Hz,      -45.87,dBm
162,  22010869.6,Hz,      -47.90,dBm
163,  22146739.1,Hz,      -48.41,dBm
164,  22282608.7,Hz,      -47.50,dBm
165,  22418478.3,Hz,      -48.47,dBm
166,  22554347.8,Hz,      -48.80,dBm
167,  22690217.4,Hz,      -48.80,dBm
168,  22826087.0,Hz,      -49.11,dBm
169,  22961956.5,Hz,      -46.57,dBm
170,  23097826.1,Hz,      -47.16,dBm
171,  23233695.7,Hz,      -48.52,dBm
172,  23369565.2,Hz,      -46.55,dBm
173,  23505434.8,Hz,      -46.21,dBm
174,  23641304.3,Hz,      -48.72,dBm
175,  23777173.9,Hz,      -47.30,dBm
176,  23913043.5,Hz,      -47.16,dBm
177,  24048913.0,Hz,      -46.57,dBm
178,  24184782.6,Hz,      -46.06,dBm
179,  24320652.2,Hz,      -46.57,dBm
180,  24456521.7,Hz,      -46.68,dBm
181,  24592391.3,Hz,      -46.54,dBm
182,  24728260.9,Hz,      -48.54,dBm
